abbor,/ɑ b ɔ ɾ/
abdisere,/ɑ b d ɪ ˈ s e ː ɾ ə/
abnorm,/ɑ b ˈ n ɔ ɾ m/
abonnere,/ɑ b ʊ ˈ n e ː ɾ ə/
abort,/ɑ ˈ b ɔ ʈ/
abortere,/ɑ b ɔ ˈ ʈ e ː ɾ ə/
absolutt,/ɑ p s ʊ ˈ l ʉ t/
abstrakt,/ɑ p ˈ s t ɾ ɑ k t/
absurd,/ɑ p ˈ s ʉ ɖ/
adapter,/ɑ ˈ d ɑ p t ə ɾ/
addere,/ɑ ˈ d e ː ɾ ə/
adekvat,/ɑ d ə ˈ k ʋ ɑː t/
adjektiv,/ˈ ɑ d j ə k t iː ʋ/
adkomst,/ˈ ɑː d k ɔ m s t/
adlyde,/ˈ ɑː d l y ː d ə/
administrasjon,/ɑ d m ɪ n ɪ s t ɾ ɑ ˈ ʂ uː n/
administrativ,/ɑ d m ɪ ˈ n ɪ s t ɾ ɑ t iː ʋ/
administrere,/ɑ d m ɪ n ɪ ˈ s t ɾ e ː ɾ ə/
adoptere,/ɑ d ɔ p ˈ t e ː ɾ ə/
adresse,/ɑ ˈ d ɾ ɛ s ə/
adressere,/ɑ d ɾ ə ˈ s e ː ɾ ə/
advare,/ˈ ɑː d ʋ ɑː ɾ ə/
adverb,/ˈ ɑ d ʋ æ ɾ b/
affære,/ɑ ˈ f æ ː ɾ ə/
afghansk,/ɑ f ˈ g ɑː n s k/
Afrika,/ˈ ɑː f ɾ ɪ k ɑ/
aften,/ɑ f t ə n/
aftens,/ˈ ɑ f t ə n s/
Agder,/ˈ ɑ g d ə ɾ/
agere,/ɑ ˈ g e ː ɾ ə/
aggressiv,/ˈ ɑ g ɾ ə s iː ʋ/
agitere,/ɑ g ɪ ˈ t e ː ɾ ə/
Agnete,/ɑ ŋ ˈ n e ː t ə/
agurk,/ɑ ˈ g ʉ ɾ k/
akademisk,/ɑ k ɑ ˈ d e ː m ɪ s k/
ake,/ˈ ɑː k ə/
akebrett,/ˈ ɑː k ə b ɾ ə t/
Aker,/ˈ ɑː k ə ɾ/
akklimatisere,/ɑ k l ɪ m ɑ t ɪ ˈ s ɛ ɾ ə/
akkompagnere,/ɑ k ʊ m p ɑ n ˈ j e ː ɾ ə/
akkumulere,/ɑ k ʉ m ʉ ˈ l e ː ɾ ə/
akselerere,/ɑ k s ə l ə ˈ ɾ e ː ɾ ə/
akseptabel,/ɑ k s ə p ˈ t ɑː b ə l/
akseptere,/ɑ k s ə p ˈ t e ː ɾ ə/
aksje,/ˈ ɑ k ʂ ə/
aksjonere,/ɑ k ʂ ʊ ˈ n e ː ɾ ə/
akt,/ɑ k t/
aktbilde,/ˈ ɑ k t b ɪ l d ə/
akte,/ˈ ɑ k t ə/
aktiv,/ˈ ɑ k t ɪ ʋ/
aktsom,/ˈ ɑ k t s ɔ m/
aktuell,/ɑ k t ʉ ˈ ɛ l/
akustisk,/ɑ ˈ k ʉ s t ɪ s k/
akutt,/ɑ ˈ k ʉ t/
akvarell,/ɑ k ʋ ɑ ˈ ɾ ɛ l/
akvarellmaling,/ɑ k ʋ ɑ ˈ ɾ ɛ l m ɑː l ɪ ŋ/
alarmere,/ɑ l ɑ ɾ ˈ m e ː ɾ ə/
alarmerende,/ɑ l ɑ ɾ ˈ m e ː ɾ ə n ə/
alarmsystem,/ɑ ˈ l ɑ ɾ m s ʏ s t e ː m/
albue,/ˈ ɑ l b ʉ/
alder,/ˈ ɑ l d ə ɾ/
aldrende,/ˈ ɑ l d ɾ ə n ə/
aldri,/ˈ ɑ l d ɾ ɪ/
ale,/ˈ o ː l ə/
alene,/ɑ l e ː n ə/
alfabetisk,/ɑ l f ɑ ˈ b e ː t ɪ s k/
alkoholfri,/ɑ l k ʊ ˈ h uː l f ɾ iː/
alkoholfritt øl,/ɑ l k ʊ ˈ h uː l f ɾ ɪ t   ˈ œ l/
alle,/ˈ ʔ ɑ l ə/
allegorisk,/ɑ l ə ˈ g uː ɾ ɪ s k/
allerede,/ɑ l ə ˈ ɾ e ː d ə/
allergi,/ɑ l æ ɾ ˈ g iː/
allergisk,/ɑ ˈ l æ ɾ g ɪ s k/
alliere,/ɑ l ɪ ˈ e ː ɾ ə/
alliert,/ɑ l ɪ ˈ e ː ʈ/
allmenn,/ˈ ɑ l m ə n/
alltid,"/ˈ ɑ l t i/, /ˈ ɑ l t ɪ d/"
alpin,/ɑ l ˈ p iː n/
alt,/ɑ l t/
alter,/ɑ l t ə ɾ/
alternativ,/ɑ l ˈ t æ ɳ ɑ t iː ʋ/
altså,/ˈ ɑ l t s ɔ/
alvorlig,/ɑ l ˈ ʋ o ː ɭ ɪ/
alvorlige,/ɑ l ˈ ʋ o ː ɭ ɪə/
alvorligere,/ɑ l ˈ ʋ o ː ɭ ɪ ɾ ə/
alvorligst,/ɑ l ˈ ʋ o ː ɭ ɪ k s t/
alvorligste,/ɑ l ˈ ʋ o ː ɭ ɪ k s t ə/
amatørmessig,/ɑ m ˈ t ø ː ɾ m ə s ɪ/
amatørmessige,/ɑ m ˈ t ø ː ɾ m ə s ɪə/
amatørmessigere,/ɑ m ˈ t ø ː ɾ m ə s ɪ ɾ ə/
amatørmessigst,/ɑ m ˈ t ø ː ɾ m ə s ɪ k s t/
amatørmessigste,/ɑ m ˈ t ø ː ɾ m ə s ɪ k s t ə/
ambassade,/ɑ m b ɑ s ɑː d ə/
ambisiøs,/ɑ m b ɪ s ɪ ˈ ø ː s/
amerikansk,/ɑ m ə ɾ ɪ ˈ k ɑː n s k/
amerikansk-canadisk,/ɑ m ə ɾ ɪ k ɑː n s k ɑ n ɑː d ɪ s k/
amme,/ˈ ɑ m ə/
amper,/ˈ ɑ m p ə ɾ/
amputere,/ɑ m p ʉ ˈ t e ː ɾ ə/
amt,/ɑ m t/
an-,/ɑ n/
anaconda,/ɑ n ɑ ˈ k ɔ n d ɑ/
analog,/ɑ n ɑ ˈ l o ː g/
analogisk,/ɑ n ɑ ˈ l o ː g ɪ s k/
analysere,/ɑ n ɑ l ʏ ˈ s e ː ɾ ə/
analytisk,/ɑ n ɑ ˈ l y ː t ɪ s k/
ananas,/ˈ ɑ n ɑ n ɑ s/
anarkistisk,/ɑ n ɑ ɾ ˈ k ɪ s t ɪ s k/
anatomisk,/ɑ n ɑ ˈ t uː m ɪ s k/
anbefale,/ˈ ɑ n b ə f ɑː l ə/
and,/ɑ n/
ande,/ˈ ɔ n ə/
andektig,/ɑ n ˈ d ɛ k t ɪ/
andektige,/ɑ n ˈ d ɛ k t ɪə/
andektigere,/ɑ n ˈ d ɛ k t ɪ ɾ ə/
andektigst,/ɑ n ˈ d ɛ k t ɪ k s t/
andektigste,/ɑ n ˈ d ɛ k t ɪ k s t ə/
andpusten,/ˈ ɑ n p ʉ s t ə n/
andre,/ɑ n d ɾ ə/
Andreas,/ɑ n ˈ d ɾ e ː ɑ s/
ane,/ˈ ɑː n ə/
anekdote,/ɑ n ɛ k ˈ d uː t ə/
anerkjenne,/ˈ ɑ n æ ɾ ç ɛ n ə/
angi,/ˈ ɑ n j iː/
angivelig,/ɑ n ˈ j iː ʋ ə l ɪ/
angivelige,/ɑ n ˈ j iː ʋ ə l ɪə/
angiveligere,/ɑ n ˈ j iː ʋ ə l ɪ ɾ ə/
angiveligst,/ɑ n ˈ j iː ʋ ə l ɪ k s t/
angiveligste,/ɑ n ˈ j iː ʋ ə l ɪ k s t ə/
angre,/ˈ ɑ ŋ ɾ ə/
angripe,/ˈ ɑ n g ɾ iː p ə/
angst,/ɑ ŋ s t/
angsten,/ˈ ɑ ŋ s t n̩/
angå,/ˈ ɑ n g o ː/
anholde,/ˈ ɑ n h ɔ l ə/
anke,/ˈ ɑ ŋ k ə/
ankel,/ˈ ɑ ŋ k ə l/
anker,/ˈ ɑ ŋ k ə ɾ/
anklage,/ˈ ɑ ŋ k l ɑː g ə/
ankomme,/ˈ ɑ ŋ k ɔ m ə/
ankre,/ˈ ɑ ŋ k ə ɾ ə/
ankret,/ˈ ɑ ŋ k ə ɾ ə/
anledning,/ɑ n ˈ l e ː d n ɪ ŋ/
anmelde,/ˈ ɑ n m ɛ l ə/
anmode,/ˈ ɑ n m uː d ə/
annen,"/ˈ ɑː ə n/, /ˈ ɑ n ə n/"
annerledes,/ˈ ɑ n ə ɭ e ː d ə s/
annonsere,/ɑ n ɔ ŋ ˈ s e ː ɾ ə/
anonym,/ɑ n ʊ ˈ n y ː m/
anorakk,/ɑ n ʊ ˈ ɾ ɑ k/
anorektisk,/ɑ n ʊ ˈ ɾ ɛ k t ɪ s k/
ansatt,/ˈ ɑ n s ɑ t/
anse,/ˈ ɑ n s e ː/
anselig,/ɑ n ˈ s e ː l ɪ/
anselige,/ɑ n ˈ s e ː l ɪə/
anseligere,/ɑ n ˈ s e ː l ɪ ɾ ə/
anseligst,/ɑ n ˈ s e ː l ɪ k s t/
anseligste,/ɑ n ˈ s e ː l ɪ k s t ə/
ansette,/ˈ ɑ n s ɛ t ə/
ansikt,/ˈ ɑ n s ɪ k t/
anskaffe,/ˈ ɑ n s k ɑ f ə/
anslå,/ˈ ɑ n ʂ ɭ o ː/
anspent,/ˈ ɑ n s p ɛ n t/
anstendig,/ɑ n ˈ s t ɛ n ɪ/
anstendige,/ɑ n ˈ s t ɛ n ɪə/
anstendigere,/ɑ n ˈ s t ɛ n ɪ ɾ ə/
anstendigst,/ɑ n ˈ s t ɛ n ɪ k s t/
anstendigste,/ɑ n ˈ s t ɛ n ɪ k s t ə/
anstrenge,/ˈ ɑ n s t ɾ ɛ ŋ ə/
anstrenge seg,/ˈ ɑ n s t ɾ ɛ ŋ ə s æ i/
anstrengende,/ˈ ɑ n s t ɾ ɛ ŋ ə n ə/
ansvarlig,/ɑ n ˈ s ʋ ɑː ɭ ɪ/
ansvarlige,/ɑ n ˈ s ʋ ɑː ɭ ɪə/
ansvarligere,/ɑ n ˈ s ʋ ɑː ɭ ɪ ɾ ə/
ansvarligst,/ɑ n ˈ s ʋ ɑː ɭ ɪ k s t/
ansvarligste,/ɑ n ˈ s ʋ ɑː ɭ ɪ k s t ə/
ansvarsfull,/ˈ ɑ n s ʋ ɑː ʂ f ʉ l/
ansvarsløs,/ˈ ɑ n s ʋ ɑː ʂ ɭ ø ː s/
anta,/ˈ ɑ n t ɑ/
antaste,/ˈ ɑ n t ɑ s t ə/
antenne,/ɑ n ˈ t ɛ n ə/
antikk,/ɑ n ˈ t ɪ k/
antikvarisk,/ɑ n t ɪ ˈ k ʋ ɑː ɾ ɪ s k/
antisemittisk,/ˈ ɑ n t ɪ s ə m ɪ t ɪ s k/
antrekk,/ˈ ɑ n t ɾ ə k/
antyde,/ˈ ɑ n t y ː d ə/
anvende,/ˈ ɑ n ʋ ɛ n ə/
anvise,/ˈ ɑ n ʋ iː s ə/
aparte,/ɑ ˈ p ɑ ʈ ə/
apatisk,/ɑ ˈ p ɑː t ɪ s k/
ape,/ˈ ɑː p ə/
apokalypse,/ɑ p ʊ k ɑ ˈ l ʏ p s ə/
apokalyptisk,/ɑ p ʊ k ɑ ˈ l ʏ p t ɪ s k/
apostel,/ɑ ˈ p ɔ s t ə l/
apotek,/ɑ p ʊ ˈ t e ː k/
apparat,/ɑ p ɑ ˈ ɾ ɑː t/
appelere,/ɑ p ə l ˈ l e ː ɾ ə/
appell,/ɑ ˈ p ɛ l/
appellere,/ɑ p ə ˈ l e ː ɾ ə/
appelsin,/ɑ p ə l ˈ s iː n/
appetitt,/ɑ p ə ˈ t ɪ t/
appetittlig,/ɑ p ə ˈ t ɪ t l ɪ/
appetittlige,/ɑ p ə ˈ t ɪ t l ɪə/
appetittligere,/ɑ p ə ˈ t ɪ t l ɪ ɾ ə/
appetittligst,/ɑ p ə ˈ t ɪ t l ɪ k s t/
appetittligste,/ɑ p ə ˈ t ɪ t l ɪ k s t ə/
applaudere,/ɑ p l æʉ ˈ d e ː ɾ ə/
applaus,/ɑ p ˈ l æʉ s/
aprikos,/ɑ p ɾ ɪ ˈ k ʊ s/
april,/ɑ ˈ p ɾ iː l/
arabisk,/ɑ ˈ ɾ ɑː b ɪ s k/
arbeid,/ɑ ɾ b æɪ d/
arbeide,/ɑ ɾ ˈ b æɪ d ə/
arbeider,/ɑ ɾ ˈ b æɪ d ə ɾ/
arbeidsledig,/ˈ ɑ ɾ b æɪ d s l e ː d ɪ/
arbeidsledige,/ˈ ɑ ɾ b æɪ d s l e ː d ɪə/
arbeidsledigere,/ˈ ɑ ɾ b æɪ d s l e ː d ɪ ɾ ə/
arbeidsledigst,/ˈ ɑ ɾ b æɪ d s l e ː d ɪ k s t/
arbeidsledigste,/ˈ ɑ ɾ b æɪ d s l e ː d ɪ k s t ə/
arbeidsløs,/ˈ ɑ ɾ b æɪ d s l ø ː s/
arbeidsom,/ˈ ɑ ɾ b æɪ d s ɔ m/
arg,/ɑ ɾ g/
argument,/ɑ ɾ g ʉ ˈ m ɛ n t/
argumentere,/ɑ ɾ g ʉ m ə n ˈ t e ː ɾ ə/
ark,/ɑ ɾ k/
arkaisk,/ɑ ɾ ˈ k ɑː ɪ s k/
arkeolog,/ɑ ɾ k ə ʊ ˈ l o ː g/
arkeologi,/ɑ ɾ k ɛ ʊ l ʊ ˈ g iː/
arkeologisk,/ɑ ɾ k ə ʊ ˈ l o ː g ɪ s k/
arkitekt,/ɑ ɾ k ɪ ˈ t ɛ k t/
arkitektonisk,/ɑ ɾ k ɪ t ə k ˈ t uː n ɪ s k/
arkivere,/ɑ ɾ k ɪ ˈ ʋ e ː ɾ ə/
arm,/ɑ ɾ m/
arme,/ɑ ɾ ˈ m e ː/
Arnt,/ɑ ɳ ʈ/
arr,/ɑ ɾ/
arrangement,/ɑ ɾ ɑ ŋ ʂ ə ˈ m ɑ ŋ/
arrangere,/ɑ ɾ ɑ ŋ ˈ ʂ e ː ɾ ə/
arrestere,/ɑ ɾ ə ˈ s t e ː ɾ ə/
arrogant,/ɑ ɾ ʊ ˈ g ɑ n t/
arte,/ˈ ɑː ʈ ə/
artig,/ˈ ɑ ʈ ɪ/
artige,/ˈ ɑ ʈ ɪə/
artigere,/ˈ ɑ ʈ ɪ ɾ ə/
artigst,/ˈ ɑ ʈ ɪ k s t/
artigste,/ˈ ɑ ʈ ɪ k s t ə/
artisjokk,/ɑ ʈ ɪ ˈ ʂ ɔ k/
artistisk,/ɑ ˈ ʈ ɪ s t ɪ s k/
arve,/ˈ ɑ ɾ ʋ ə/
