abbor  aa b ao r
abdisere  aa b d ih s ee r ax
abnorm  aa b n ao r m
abonnere  aa b uh n ee r ax
abort  aa b ao t
abortere  aa b ao t ee r ax
absolutt  aa p s uh l uh t
abstrakt  aa p s t r aa k t
absurd  aa p s uh d
adapter  aa d aa p t ax r
addere  aa d ee r ax
adekvat  aa d ax k v aa t
adjektiv  aa d j ax k t iy v
adkomst  aa d k ao m s t
adlyde  aa d l ueh d ax
administrasjon  aa d m ih n ih s t r aa sz uu n
administrativ  aa d m
administrere  aa d m ih n ih s t r ee r ax
adoptere  aa d ao p t ee r ax
adresse  aa d r eh s ax
adressere  aa d r ax s ee r ax
advare  aa d v aa r ax
adverb  aa d v ae r b
affære  aa f ae r ax
afghansk  aa f g aa n s k
Afrika  aa f r ih k aa
aften  aa f t ax n
aftens  aa f t ax n s
Agder  aa g d ax r
agere  aa g ee r ax
aggressiv  aa g r ax s iy v
agitere  aa g ih t ee r ax
Agnete  aa ng n ee t ax
agurk  aa g uh r k
akademisk  aa k aa d ee m ih s k
ake  aa k ax
akebrett  aa k ax b r ax t
Aker  aa k ax r
akklimatisere  aa k l ih m aa t ih s eh r ax
akkompagnere  aa k uh m p aa n j ee r ax
akkumulere  aa k uh m uh l ee r ax
akselerere  aa k s ax l ax r ee r ax
akseptabel  aa k s ax p t aa b ax l
akseptere  aa k s ax p t ee r ax
aksje  aa k sz ax
aksjonere  aa k sz uh n ee r ax
akt  aa k t
aktbilde  aa k t b ih l d ax
akte  aa k t ax
aktiv  aa k t ih v
aktsom  aa k t s ao m
aktuell  aa k t uh eh l
akustisk  aa k uh s t ih s k
akutt  aa k uh t
akvarell  aa k v aa r eh l
akvarellmaling  aa k v aa r eh l m aa l ih ng
alarmere  aa l aa r m ee r ax
alarmerende  aa l aa r m ee r ax n ax
alarmsystem  aa l aa r m s ue s t ee m
albue  aa l b uh
alder  aa l d ax r
aldrende  aa l d r ax n ax
aldri  aa l d r ih
ale  oo l ax
alene  aa l ee n ax
alfabetisk  aa l f aa b ee t ih s k
alkoholfri  aa l k uh hh uu l f r iy
alkoholfritt øl  aa l k uh hh uu l f r ih t oe l
alle  q aa l ax
allegorisk  aa l ax g uu r ih s k
allerede  aa l ax r ee d ax
allergi  aa l ae r g iy
allergisk  aa l ae r g ih s k
alliere  aa l ih ee r ax
alliert  aa l ih ee t
allmenn  aa l m ax n
alltid  aa l t iy
alpin  aa l p iy n
alt  aa l t
alter  aa l t ax r
alternativ  aa l t ae ng aa t iy v
altså  aa l t s ao
alvorlig  aa l v oo l ih
alvorlige  aa l v oo l ih ax
alvorligere  aa l v oo l ih r ax
alvorligst  aa l v oo l ih k s t
alvorligste  aa l v oo l ih k s t ax
amatørmessig  aa m t oeh r m ax s ih
amatørmessige  aa m t oeh r m ax s ih ax
amatørmessigere  aa m t oeh r m ax s ih r ax
amatørmessigst  aa m t oeh r m ax s ih k s t
amatørmessigste  aa m t oeh r m ax s ih k s t ax
ambassade  aa m b aa s aa d ax
ambisiøs  aa m b ih s ih oeh s
amerikansk  aa m ax r ih k aa n s k
amerikansk-canadisk  aa m ax r ih k aa n s k aa n aa d ih s k
amme  aa m ax
amper  aa m p ax r
amputere  aa m p uh t ee r ax
amt  aa m t
an  aa n
anaconda  aa n aa k ao n d aa
analog  aa n aa l oo g
analogisk  aa n aa l oo g ih s k
analysere  aa n aa l ue s ee r ax
analytisk  aa n aa l ueh t ih s k
ananas  aa n aa n aa s
anarkistisk  aa n aa r k ih s t ih s k
anatomisk  aa n aa t uu m ih s k
anbefale  aa n b ax f aa l ax
and  aa n
ande  ao n ax
andektig  aa n d eh k t ih
andektige  aa n d eh k t ih ax
andektigere  aa n d eh k t ih r ax
andektigst  aa n d eh k t ih k s t
andektigste  aa n d eh k t ih k s t ax
andpusten  aa n p uh s t ax n
andre  aa n d r ax
Andreas  aa n d r ee aa s
ane  aa n ax
anekdote  aa n eh k d uu t ax
anerkjenne  aa n ae r xh eh n ax
angi  aa n j iy
angivelig  aa n j iy v ax l ih
angivelige  aa n j iy v ax l ih ax
angiveligere  aa n j iy v ax l ih r ax
angiveligst  aa n j iy v ax l ih k s t
angiveligste  aa n j iy v ax l ih k s t ax
angre  aa ng r ax
angripe  aa ng r iy p ax
angst  aa ng s t
angsten  aa ng s t ax n
angå  aa ng oo
anholde  aa n h ao l ax
anke  aa ng k ax
ankel  aa ng k ax l
anker  aa ng k ax r
anklage  aa ng k l aa g ax
ankomme  aa ng k ao m ax
ankre  aa ng k ax r ax
ankret  aa ng k ax r ax
anledning  aa n l ee d n ih ng
anmelde  aa n m eh l ax
anmode  aa n m uu d ax
annen  aa n ax n
annerledes  aa n ax l ee d ax s
annonsere  aa n ao ng s ee r ax
anonym  aa n uh n ueh m
anorakk  aa n uh r aa k
anorektisk  aa n uh r eh k t ih s k
ansatt  aa n s aa t
anse  aa n s ee
anselig  aa n s ee l ih
anselige  aa n s ee l ih ax
anseligere  aa n s ee l ih r ax
anseligst  aa n s ee l ih k s t
anseligste  aa n s ee l ih k s t ax
ansette  aa n s eh t ax
ansikt  aa n s ih k t
anskaffe  aa n s k aa f ax
anslå  aa n sz l oo
anspent  aa n s p eh n t
anstendig  aa n s t eh n ih
anstendige  aa n s t eh n ih ax
anstendigere  aa n s t eh n ih r ax
anstendigst  aa n s t eh n ih k s t
anstendigste  aa n s t eh n ih k s t ax
anstrenge  aa n s t r eh ng ax
anstrenge seg  aa n s t r eh ng ax s ae iy
anstrengende  aa n s t r eh ng ax n ax
ansvarlig  aa n s v aa l ih
ansvarlige  aa n s v aa l ih ax
ansvarligere  aa n s v aa l ih r ax
ansvarligst  aa n s v aa l ih k s t
ansvarligste  aa n s v aa l ih k s t ax
ansvarsfull  aa n s v aa sz f uh l
ansvarsløs  aa n s v aa sz l oeh s
anta  aa n t aa
antaste  aa n t aa s t ax
antenne  aa n t eh n ax
antikk  aa n t ih k
antikvarisk  aa n t ih k v aa r ih s k
antisemittisk  aa n t ih s ax m ih t ih s k
antrekk  aa n t r ax k
antyde  aa n t ueh d ax
anvende  aa n v eh n ax
anvise  aa n v iy s ax
aparte  aa p aa t ax
apatisk  aa p aa t ih s k
ape  aa p ax
apokalypse  aa p uh k aa l ue p s ax
apokalyptisk  aa p uh k aa l ue p t ih s k
apostel  aa p ao s t ax l
apotek  aa p uh t ee k
apparat  aa p aa r aa t
appelere  aa p ax l ee r ax
appell  aa p eh l
appellere  aa p ax l ee r ax
appelsin  aa p ax l s iy n
appetitt  aa p ax t ih t
appetittlig  aa p ax t ih t l ih
appetittlige  aa p ax t ih t l ih ax
appetittligere  aa p ax t ih t l ih r ax
appetittligst  aa p ax t ih t l ih k s t
appetittligste  aa p ax t ih t l ih k s t ax
applaudere  aa p l aw d ee r ax
applaus  aa p l aw s
aprikos  aa p r ih k uh s
april  aa p r iy l
arabisk  aa r aa b ih s k
arbeid  aa r b ay d
arbeide  aa r b ay d ax
arbeider  aa r b ay d ax r
arbeidsledig  aa r b ay d s l ee d ih
arbeidsledige  aa r b ay d s l ee d ih ax
arbeidsledigere  aa r b ay d s l ee d ih r ax
arbeidsledigst  aa r b ay d s l ee d ih k s t
arbeidsledigste  aa r b ay d s l ee d ih k s t ax
arbeidsløs  aa r b ay d s l oeh s
arbeidsom  aa r b ay d s ao m
arg  aa r g
argument  aa r g uh m eh n t
argumentere  aa r g uh m ax n t ee r ax
ark  aa r k
arkaisk  aa r k aa ih s k
arkeolog  aa r k ax uh l oo g
arkeologi  aa r k eh uh l uh g iy
arkeologisk  aa r k ax uh l oo g ih s k
arkitekt  aa r k ih t eh k t
arkitektonisk  aa r k ih t ax k t uu n ih s k
arkivere  aa r k ih v ee r ax
arm  aa r m
arme  aa r m ee
arr  aa r
arrangement  aa r aa ng sz ax m aa ng
arrangere  aa r aa ng sz ee r ax
arrestere  aa r ax s t ee r ax
arrogant  aa r uh g aa n t
arte  aa t ax
artig  aa t ih
artige  aa t ih ax
artigere  aa t ih r ax
artigst  aa t ih k s t
artigste  aa t ih k s t ax
artisjokk  aa t ih sz ao k
artistisk  aa t ih s t ih s k
arve  aa r v ax
arvelig  aa r v ax l ih
arvelige  aa r v ax l ih ax
arveligere  aa r v ax l ih r ax
arveligst  aa r v ax l ih k s t
arveligste  aa r v ax l ih k s t ax
asen  aa s ax n
